City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,79.79,light rain,-23.1203,-134.9692,People ThankYou
3,Tessalit,ML,84.7,broken clouds,20.1986,1.0114,
5,Vaini,TO,80.8,light rain,-21.2,-175.2,Keleti Beach Resort
14,Mayumba,GA,79.41,broken clouds,-3.432,10.6554,LIKWALE LODGE
17,Hilo,US,77.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
19,Dhanera,IN,76.26,scattered clouds,24.5167,72.0167,Paresh joja
25,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
26,Boa Vista,BR,84.94,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
27,Kavieng,PG,83.61,broken clouds,-2.5744,150.7967,Nusa Island Retreat
32,Kapaa,US,77.11,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Chuy,UY,78.39,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
35,Grand Gaube,MU,81.0,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
38,Hithadhoo,MV,84.06,overcast clouds,-0.6,73.0833,Scoop Guest House
39,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
40,Puerto Ayora,EC,83.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Butaritari,KI,81.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
53,San Patricio,US,82.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
54,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
59,Simbahan,PH,82.81,scattered clouds,6.3032,120.5836,
64,Lagos,NG,82.38,few clouds,6.5833,3.75,
69,Luba,GQ,81.7,clear sky,3.4568,8.5547,
72,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
74,Miandrivazo,MG,77.11,heavy intensity rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
80,Saint-Philippe,RE,80.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,El Alto,PE,78.08,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
83,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
84,Bairiki,KI,80.49,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
85,Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
86,Madang,PG,75.92,scattered clouds,-5.2246,145.7966,Comfort Inn Hotel
87,Banjar,ID,78.01,broken clouds,-8.19,114.9675,The Hamsa Resort
91,Sinnamary,GF,79.02,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
97,Kalas,IN,83.05,scattered clouds,18.1667,74.8,Hotel Durvankur
98,Aquin,HT,81.61,light rain,18.2833,-73.4,Asheev Beach
104,Arraial Do Cabo,BR,79.59,clear sky,-22.9661,-42.0278,Pousada Porto Praia
106,Avarua,CK,80.65,clear sky,-21.2078,-159.775,Paradise Inn
107,Maragogi,BR,82.08,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
108,Samarai,PG,82.58,overcast clouds,-10.6167,150.6667,Nuli Sapi
112,Atuona,PF,78.3,few clouds,-9.8,-139.0333,Villa Enata
118,Yulara,AU,75.94,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
119,Cap Malheureux,MU,79.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
120,Goundi,TD,88.16,broken clouds,9.3627,17.366,
123,Touros,BR,84.0,light rain,-5.1989,-35.4608,INN NEW HORIZON
124,Isangel,VU,79.92,overcast clouds,-19.55,169.2667,Tanna Lodge
125,Inirida,CO,80.65,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
126,Sechura,PE,86.29,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
136,Bhimavaram,IN,75.47,overcast clouds,16.5333,81.5333,Madipalli Inn
140,Necocli,CO,84.6,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
141,Bathsheba,BB,79.9,clear sky,13.2167,-59.5167,Atlantis Hotel
142,Labuhan,ID,77.58,clear sky,-6.8844,112.2051,DoubleFAG
150,Itarema,BR,79.88,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
151,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
157,Kailua,US,82.38,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
162,Arica,CL,83.75,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
166,Sao Felix Do Xingu,BR,83.5,light rain,-6.6447,-51.995,Rio Xingu Camping
168,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
171,Amudat,UG,80.22,broken clouds,1.95,34.95,Silent Night Hotel
178,Porto Novo,BJ,83.21,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
182,Manacapuru,BR,86.18,light rain,-3.2997,-60.6206,Novo Hotel
185,Balabac,PH,82.0,few clouds,7.9868,117.0645,Batalla’s Lodging House
187,Faanui,PF,81.36,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
