City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,68.0,70,100,6.15,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,79.79,81,100,23.82,light rain
2,Nchelenge,ZM,-9.3451,28.734,71.01,80,100,1.52,overcast clouds
3,Tessalit,ML,20.1986,1.0114,84.7,9,71,7.18,broken clouds
4,Nome,US,64.5011,-165.4064,-5.13,89,3,7.65,clear sky
5,Vaini,TO,-21.2,-175.2,80.8,77,100,5.59,light rain
6,Barrow,US,71.2906,-156.7887,-11.18,77,40,8.05,mist
7,Iida,JP,35.5197,137.8207,43.03,60,7,3.2,clear sky
8,Chokurdakh,RU,70.6333,147.9167,-19.82,97,50,9.78,scattered clouds
9,Sokolka,PL,53.4072,23.5023,38.66,75,6,9.91,clear sky
10,Pljevlja,ME,43.3333,19.3333,38.41,95,100,2.37,overcast clouds
11,Tasiilaq,GL,65.6145,-37.6368,23.16,92,100,7.63,overcast clouds
12,Nikolskoye,RU,59.7035,30.7861,35.71,88,98,3.71,overcast clouds
13,Longyearbyen,SJ,78.2186,15.6401,37.24,48,20,17.27,few clouds
14,Mayumba,GA,-3.432,10.6554,79.41,86,54,9.04,broken clouds
15,Beringovskiy,RU,63.05,179.3167,-12.57,91,14,6.6,few clouds
16,Nichinan,JP,31.6,131.3667,58.44,57,100,3.76,overcast clouds
17,Hilo,US,19.7297,-155.09,77.25,100,100,7.0,moderate rain
18,Esperance,AU,-33.8667,121.9,65.77,91,0,7.05,clear sky
19,Dhanera,IN,24.5167,72.0167,76.26,36,45,7.4,scattered clouds
20,Hermanus,ZA,-34.4187,19.2345,64.8,74,0,13.8,clear sky
21,Changqing,CN,36.5575,116.7272,38.77,48,100,18.63,overcast clouds
22,Albany,US,42.6001,-73.9662,58.64,54,28,1.99,scattered clouds
23,Meulaboh,ID,4.1363,96.1285,74.35,96,100,7.96,moderate rain
24,Antofagasta,CL,-23.65,-70.4,73.22,64,13,8.88,few clouds
25,Georgetown,MY,5.4112,100.3354,78.73,99,20,3.44,few clouds
26,Boa Vista,BR,2.8197,-60.6733,84.94,60,75,7.74,broken clouds
27,Kavieng,PG,-2.5744,150.7967,83.61,70,52,14.0,broken clouds
28,Mataura,NZ,-46.1927,168.8643,44.47,99,88,2.46,overcast clouds
29,Sayansk,RU,54.1088,102.1648,-4.02,99,100,1.36,overcast clouds
